id,Author list,title,Year,m_control,n_control,sd_control,se_control,m_treatment,n_treatment,sd_treatment,se_treatment,m_Measure,m_Location,Species,Treatment_Type,Treatment_Overall,Treatment_Name,Sex,Dose (compared to AL),Treatment_length,Age_on_treatment,Strain,Other Variables,notes
1,"Acosta, Victoria and Acosta-RodraGuez, Victoria and Rijo-Ferreira, Filipa and Izumo, Mariko and Xu, Pin and Wight-Carter, Mary and Green, Carla and Takahashi, Joseph",circadian alignment of early onset caloric restriction promotes longevity in male c57Bl/6J mice,2022,792,43,,,875,36,,,median,figure 2,mice,Percent Reduction,Dietary restriction,CR-spread,male,70%,life,6 weeks,C57BL/6J,None,
2,"Acosta, Victoria and Acosta-RodraGuez, Victoria and Rijo-Ferreira, Filipa and Izumo, Mariko and Xu, Pin and Wight-Carter, Mary and Green, Carla and Takahashi, Joseph",circadian alignment of early onset caloric restriction promotes longevity in male c57Bl/6J mice,2022,792,43,,,942,36,,,median,figure 2,mice,Percent Reduction + Fasted,Dietary restriction,CR-day-12h,male,70%,life,6 weeks,C57BL/6J,None,
3,"Acosta, Victoria and Acosta-RodraGuez, Victoria and Rijo-Ferreira, Filipa and Izumo, Mariko and Xu, Pin and Wight-Carter, Mary and Green, Carla and Takahashi, Joseph",circadian alignment of early onset caloric restriction promotes longevity in male c57Bl/6J mice,2022,792,43,,,959,36,,,median,figure 2,mice,Percent Reduction + Fasted,Dietary restriction,CR-day-02h,male,70%,life,6 weeks,C57BL/6J,None,
4,"Acosta, Victoria and Acosta-RodraGuez, Victoria and Rijo-Ferreira, Filipa and Izumo, Mariko and Xu, Pin and Wight-Carter, Mary and Green, Carla and Takahashi, Joseph",circadian alignment of early onset caloric restriction promotes longevity in male c57Bl/6J mice,2022,792,43,,,1058,36,,,median,figure 2,mice,Percent Reduction + Fasted,Dietary restriction,CR-night-12h,male,70%,life,6 weeks,C57BL/6J,None,
5,"Acosta, Victoria and Acosta-RodraGuez, Victoria and Rijo-Ferreira, Filipa and Izumo, Mariko and Xu, Pin and Wight-Carter, Mary and Green, Carla and Takahashi, Joseph",circadian alignment of early onset caloric restriction promotes longevity in male c57Bl/6J mice,2022,792,43,,,1068,36,,,median,figure 2,mice,Percent Reduction + Fasted,Dietary restriction,CR-night-02h,male,70%,life,6 weeks,C57BL/6J,None,
6,"Aires, D. J. and Rockwell, G. and Wang, T. and Frontera, J. and Wick, J. and Wang, W. and Tonkovic-Capin, M. and Lu, J. and E, L. and Zhu, H. and Swerdlow, R. H.",Potentiation of dietary restriction-induced lifespan extension by polyphenols,2012,24.08,12,4.21,1.21,28.89,68,5.7,0.69,mean,figure 1 - boxplot,mice,Fasted,Dietary restriction,IF,male,1day,life,20 weeks,C57BL/6 mice,None,
7,"Aires, D. J. and Rockwell, G. and Wang, T. and Frontera, J. and Wick, J. and Wang, W. and Tonkovic-Capin, M. and Lu, J. and E, L. and Zhu, H. and Swerdlow, R. H.",Potentiation of dietary restriction-induced lifespan extension by polyphenols,2012,23,12,,,31.5,68,,,median,table 1,mice,Fasted,Dietary restriction,IF,male,1day,life,20 weeks,C57BL/6 mice,None,
8,"Anisimov, V. N. and Berstein, L. M. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Kovalenko, I. G. and Poroshina, T. E. and Semenchenko, A. V. and Provinciali, M. and Re, F. and Franceschi, C.",Effect of metformin on life span and on the development of spontaneous mammary tumors in HER-2/neu transgenic mice,2005,264,34,20.40833163,3.5,285,32,29.4156421,5.2,mean,table 4,mice,Metformin,Metformin,Metformin,female,100 mg/kg,life,2 months,HER-2/neu mice,Breast Cancer Gene,
9,"Anisimov, V. N. and Berstein, L. M. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Kovalenko, I. G. and Poroshina, T. E. and Semenchenko, A. V. and Provinciali, M. and Re, F. and Franceschi, C.",Effect of metformin on life span and on the development of spontaneous mammary tumors in HER-2/neu transgenic mice,2005,200,34,,,233,32,,,median,table 4 + fig 1,mice,Metformin,Metformin,Metformin,female,100 mg/kg,life,2 months,HER-2/neu mice,Breast Cancer Gene,
10,"Anisimov, V. N. and Berstein, L. M. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Tyndyk, M. L. and Yurova, M. V. and Kovalenko, I. G. and Poroshina, T. E. and Semenchenko, A. V.",Metformin slows down aging and extends life span of female SHR mice,2008,388,50,206.4751801,29.2,535,50,225.5670632,31.9,mean,Table3 - Mean+SS,mice,Metformin,Metformin,Metformin,female,100 mg/kg in drinking water,life,3 months,SHR mice,None,
11,"Anisimov, V. N. and Berstein, L. M. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Tyndyk, M. L. and Yurova, M. V. and Kovalenko, I. G. and Poroshina, T. E. and Semenchenko, A. V.",Metformin slows down aging and extends life span of female SHR mice,2008,297,50,,,570,50,,,median,Table3 - Mean+SS,mice,Metformin,Metformin,Metformin,female,100 mg/kg in drinking water,life,3 months,SHR mice,None,
12,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,511,119,,,583,51,,,mean,table 3,mice,Metformin,Metformin,MF-3,female,100 mg/kg,life,from 3 months,outbred SHR mice,None,cant use error as not sure if SD or SE
13,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,583,97,,,619,45,,,mean,table 3,mice,Metformin,Metformin,MF-9,female,100 mg/kg,life,9 months,outbred SHR mice,None,
14,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,668,69,,,647,33,,,mean,table 3,mice,Metformin,Metformin,MF-15,female,100 mg/kg,life,from 15 months,outbred SHR mice,None,cant use error as not sure if SD or SE
15,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,525,119,,,617,51,,,median,table 3,mice,Metformin,Metformin,MF-3,female,100 mg/kg,life,3 months,outbred SHR mice,None,
16,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,591,97,,,630,45,,,median,table 3,mice,Metformin,Metformin,MF-9,female,100 mg/kg,life,9 months,outbred SHR mice,None,cant use error as not sure if SD or SE
17,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,636,69,,,636,33,,,median,table 3,mice,Metformin,Metformin,MF-15,female,100 mg/kg,life,15 months,outbred SHR mice,None,
18,"Anisimov, V. N. and Egormin, P. A. and Bershtein, L. M. and Zabezhinskii, M. A. and Piskunova, T. S. and Popovich, I. G. and Semenchenko, A. V.",Metformin decelerates aging and development of mammary tumors in HER-2/neu transgenic mice,2005,264,34,,,285,32,,,mean,Table1: Mean + SS,mice,Metformin,Metformin,Metformin,female,240 mg/kg,life,2 months,HER-2/neu Transgenic Mouse,Breast Cancer Gene,cant use error as not sure if SD or SE
19,"Anisimov, V. N. and Egormin, P. A. and Bershtein, L. M. and Zabezhinskii, M. A. and Piskunova, T. S. and Popovich, I. G. and Semenchenko, A. V.",Metformin decelerates aging and development of mammary tumors in HER-2/neu transgenic mice,2005,200,34,,,232,32,,,median,Table1:  SS + Figure 1a Median,mice,Metformin,Metformin,Metformin,female,240 mg/kg,life,2 months,HER-2/neu Transgenic Mouse,Breast Cancer Gene,
20,"Anisimov, V. N. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Tyndyk, M. L. and Yurova, M. N. and Zabezhinski, M. A. and Anikin, I. V. and Karkach, A. S. and Romanyukha, A. A.",Metformin extends life span of HER-2/neu transgenic mice and in combination with melatonin inhibits growth of transplantable tumors in vivo,2010,285,15,,,304,20,,,mean,Table4: Mean +SS,mice,Metformin,Metformin,Metformin,female,0.5 mg/ml in drinking water,life,2 months,HER-2/neu Transgenic Mouse,Breast Cancer Gene,cant use error as not sure if SD or SE
21,"Anisimov, V. N. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Tyndyk, M. L. and Yurova, M. N. and Zabezhinski, M. A. and Anikin, I. V. and Karkach, A. S. and Romanyukha, A. A.",Metformin extends life span of HER-2/neu transgenic mice and in combination with melatonin inhibits growth of transplantable tumors in vivo,2010,284,15,,,309,20,,,median,Table4: Mean +SS,mice,Metformin,Metformin,Metformin,female,0.5 mg/ml in drinking water,life,2 months,HER-2/neu Transgenic Mouse,Breast Cancer Gene,
22,"Anisimov, V. N. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Tyndyk, M. L. and Egormin, P. A. and Yurova, M. V. and Rosenfeld, S. V. and Semenchenko, A. V. and Kovalenko, I. G. and Poroshina, T. E. and Berstein, L. M.","Gender differences in metformin effect on aging, life span and spontaneous tumorigenesis in 129/Sv mice",2010,662,41,192.0937271,30,573,46,228.5645204,33.7,mean,table 4,mice,Metformin,Metformin,Metformin,male,100 mg/kg,life,3 months,129/Sv mice,None,
23,"Anisimov, V. N. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Tyndyk, M. L. and Egormin, P. A. and Yurova, M. V. and Rosenfeld, S. V. and Semenchenko, A. V. and Kovalenko, I. G. and Poroshina, T. E. and Berstein, L. M.","Gender differences in metformin effect on aging, life span and spontaneous tumorigenesis in 129/Sv mice",2010,680,41,,,586,46,,,median,table 4,mice,Metformin,Metformin,Metformin,male,100 mg/kg,life,3 months,129/Sv mice,None,
